"","Brand_Name","Sales_Source","Week_Ending_Sat","Latest_Year","Sold_Units","Retail_Price","Gross_Revenue_.Sales.","units_sold_source_promo","Total_Discount","Net_Revenue_Sales","Number_of_Transactions","Average_AMA_Star_Ratings","Total_Searches_On_AMA","Total_Unique_Searches_On_AMA","Total_Unique_Branded_Organic_Searches_On_AMA","Total_Clicks_On_AMA","Total_Impressions_On_AMA","Total_Ops_On_AMA","Avg_Search_Position_On_AMA","Total_Organic_Searches_On_AMA","Total_Unique_Organic_Searches_On_AMA","Total_Organic_Clicks_On_AMA","Total_Organic_Impressions_On_AMA","Total_Organic_Ops_On_AMA","Avg_Organic_Search_Position_On_AMA","Total_Branded_Organic_Searches_On_AMA","Total_Unique_Branded_Organic_Searches.1_On_AMA","Total_Sponsored_Searches_On_AMA","Total_Unique_Sponsored_Searches_On_AMA","Total_Category_Organic_Searches_On_AMA","Total_Unique_Category_Organic_Searches_On_AMA","Total_Unique_Category_Sponsored_Searches_On_AMA","Total_Branded_Sponsored_Searches_On_AMA","Total_Unique_Branded_Sponsored_Searches_On_AMA","Total_Category_Sponsored_Searches_On_AMA","ACV_Weighted_Distribution_from_IRI","dsp_Ad_Spend","sb_Ad_Spend","sd_Ad_Spend","sp_Ad_Spend","internetDisplay_Ad_Spend","mobileApp_Ad_Spend","mobileWeb_Ad_Spend","avod_Ad_Spend","onlineVideo_Ad_Spend","mobileWebVideo_Ad_Spend","dsp_Impressions","sb_Impressions","sd_Impressions","sp_Impressions","internetDisplay_Impressions","mobileApp_Impressions","mobileWeb_Impressions","avod_Impressions","onlineVideo_Impressions","mobileWebVideo_Impressions","dsp_Clicks","sb_Clicks","sd_Clicks","sp_Clicks","internetDisplay_Clicks","mobileApp_Clicks","mobileWeb_Clicks","avod_Clicks","onlineVideo_Clicks","mobileWebVideo_Clicks","dsp_Ad_Attributed_Sales_on_AMA","sb_Ad_Attributed_Sales_on_AMA","sd_Ad_Attributed_Sales_on_AMA","sp_Ad_Attributed_Sales_on_AMA","internetDisplay_Ad_Attributed_Sales_on_AMA","mobileApp_Ad_Attributed_Sales_on_AMA","mobileWeb_Ad_Attributed_Sales_on_AMA","avod_Ad_Attributed_Sales_on_AMA","onlineVideo_Ad_Attributed_Sales_on_AMA","mobileWebVideo_Ad_Attributed_Sales_on_AMA","dsp_Ad_Units_from_Kantar","sb_Ad_Units_from_Kantar","sd_Ad_Units_from_Kantar","sp_Ad_Units_from_Kantar","internetDisplay_Ad_Units_from_Kantar","mobileApp_Ad_Units_from_Kantar","mobileWeb_Ad_Units_from_Kantar","avod_Ad_Units_from_Kantar","onlineVideo_Ad_Units_from_Kantar","mobileWebVideo_Ad_Units_from_Kantar","Labor_Force_Statistics_from_the_Current_Population_Survey..Seas._Civilian_Labor_Force_Level","Employment._Hours._and_Earnings_from_the_Current_Employment_Statistics_survey_.National..Average_hourly_earnings_of_all_employees._total_private._seasonally_adjusted","CPI_for_All_Urban_Consumers_.CPI.U..All_items_in_U.S._city_average._all_urban_consumers._not_seasonally_adjusted","Employment._Hours._and_Earnings_from_the_Current_Employment_Statistics_survey_.National..Average_weekly_hours_of_production_and_nonsupervisory_employees._total_private._seasonally_adjusted","CPI_for_All_Urban_Consumers_.CPI.U..All_items_._old_base_in_U.S._city_average._all_urban_consumers._not_seasonally_adjusted","Import_Export_Price_Indexes.Monthly_export_price_index_for_BEA_End_Use._All_commodities._not_seasonally_adjusted","Employment._Hours._and_Earnings_from_the_Current_Employment_Statistics_survey_.National..Average_hourly_earnings_of_production_and_nonsupervisory_employees._total_private._seasonally_adjusted","Employment._Hours._and_Earnings_from_the_Current_Employment_Statistics_survey_.National..Average_weekly_hours_of_all_employees._total_private._seasonally_adjusted","Employment._Hours._and_Earnings_from_the_Current_Employment_Statistics_survey_.National..All_employees._thousands._total_nonfarm._seasonally_adjusted","Labor_Force_Statistics_from_the_Current_Population_Survey..Seas._Unemployment_Rate","Labor_Force_Statistics_from_the_Current_Population_Survey..Seas._Employment_Level","CPI_for_Urban_Wage_Earners_and_Clerical_Workers_.CPI.W..All_items_in_U.S._city_average._urban_wage_earners_and_clerical_workers._not_seasonally_adjusted","PPI_Commodity_Data.PPI_Commodity_data_for_Final_demand._not_seasonally_adjusted","PPI_Commodity_Data.PPI_Commodity_data_for_Final_demand._seasonally_adjusted","Import_Export_Price_Indexes.Monthly_import_price_index_for_BEA_End_Use._All_commodities._not_seasonally_adjusted","PPI_Commodity_Data.PPI_Commodity_data_for_Final_demand.Finished_goods._not_seasonally_adjusted","Week_Ending_Sun","Avg_Sales_Price"
"1","BA","AMA",2019-07-13,FALSE,2630,89.5906575742827,222477.070000004,29,2044.91,220432.160000004,0,4.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.62,6519.68,4477.89,11835.46,0,0,0,0,0,0,191016,215467,43523,1486720,0,0,0,0,0,0,71,1284,186,3951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144985.93548387,196.435806451613,1795.96764516129,235.2,5379.91119354839,881.81935483871,164.96064516129,240.8,1056808.29032258,25.9,1103075.35483871,1751.372,831.125806451613,829.251612903226,877.61935483871,1449.54193548387,2019-07-14,83.8145095057049
"2","BA","AMA",2019-07-20,FALSE,5354,150.35463580999,785769.460000009,1574,126666.429999998,659103.030000011,0,3.84047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.56,14125.2,8982.38,40753.25,316.1341,0,2525.8694,0,0,0,237254,373596,107152,5457077,0,0,0,0,0,0,116,2123,361,10296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9,0,0,0,1145463.29032258,196.593870967742,1795.94709677419,235.2,5379.85112903226,880.712903225806,165.087096774194,240.8,1057061.19354839,25.9,1103536.90322581,1751.176,831.283870967742,829.567741935484,876.512903225806,1447.96129032258,2019-07-21,123.104787075086
"3","BA","AMA",2019-07-27,FALSE,2588,86.7314524864608,213146.960000003,0,0,213146.960000003,0,4.30357142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.56,9563,5382.22,10987.33,0,0,0,0,0,0,211731,241369,44804,1425298,0,0,0,0,0,0,94,1477,207,4386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145940.64516129,196.751935483871,1795.9265483871,235.2,5379.79106451613,879.606451612903,165.213548387097,240.8,1057314.09677419,25.9,1103998.4516129,1750.98,831.441935483871,829.883870967742,875.406451612903,1446.38064516129,2019-07-28,82.3597217928915
"4","BA","AMA",2019-08-03,FALSE,2711,89.1962976744191,226346.720000001,0,0,226346.720000001,0,4.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.44,7525.29,4927.92,17956.5,0,0,0,0,0,0,88791,257529,44605,2361878,0,0,0,0,0,0,36,1431,183,5033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146406.19354839,196.894516129032,1795.94741935484,235.2,5379.85506451613,878.558064516129,165.336129032258,240.8,1057567.58064516,25.8612903225807,1104494.25806452,1750.83490322581,831.483870967742,830.103225806452,874.454838709677,1444.85806451613,2019-08-04,83.4919660641834
"5","BA","AMA",2019-08-10,FALSE,2678,90.5964355514195,225995.010000001,0,0,225995.010000001,0,4.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,5874.21,1870.92,13454.27,0,0,0,0,0,0,314,248735,30483,1814930,0,0,0,0,0,0,4,1344,98,3619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146798.93548387,196.941612903226,1796.22370967742,235.2,5380.68412903226,877.867741935484,165.434838709677,240.8,1057824.64516129,25.5838709677419,1105201.32258065,1751.00370967742,830.809677419355,829.725806451613,874.458064516129,1443.6935483871,2019-08-11,84.3894734876777
"6","BA","AMA",2019-08-17,FALSE,2896,85.4952573691161,232520.92,0,0,232520.92,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7509.31,5284.68,661.98,12768.79,0,0,0,0,0,0,2115679,246191,5004,1977669,0,0,0,0,0,0,4822,1267,44,3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147179.87096774,196.973225806452,1796.54141935484,235.2,5381.63725806452,877.235483870968,165.529677419355,240.8,1058082.29032258,25.2677419354839,1105942.64516129,1751.22341935484,830.01935483871,829.251612903226,874.616129032258,1442.58709677419,2019-08-18,80.2903729281767
"7","BA","AMA",2019-08-24,FALSE,2875,87.4962500000006,236812.670000001,0,0,236812.670000001,0,4.73333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19068.12,4431.01,512.28,16378.34,0,0,0,0,0,0,5218954,259311,6188,2632928,0,0,0,0,0,0,8753,1057,38,3903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1147560.80645161,197.004838709677,1796.85912903226,235.2,5382.59038709677,876.603225806452,165.624516129032,240.8,1058339.93548387,24.9516129032258,1106683.96774194,1751.44312903226,829.229032258064,828.777419354839,874.774193548387,1441.48064516129,2019-08-25,82.3696243478264
"8","BA","AMA",2019-08-31,FALSE,2928,90.4106853980427,248507.410000001,0,0,248507.410000001,0,4.33061224489796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18164.94,4171.51,504.61,18649.93,0,0,0,0,0,0,5061316,240088,4740,2669191,0,0,0,0,0,0,8085,1014,34,4414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1147941.74193548,197.036451612903,1797.17683870968,235.2,5383.54351612903,875.970967741936,165.71935483871,240.8,1058597.58064516,24.6354838709677,1107425.29032258,1751.66283870968,828.438709677419,828.303225806452,874.932258064516,1440.37419354839,2019-09-01,84.8727493169403
"9","BA","AMA",2019-09-07,FALSE,3737,98.7436357458371,351250.769999996,0,0,351250.769999996,0,3.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19135.57,5891.24,456.32,28064.36,0,0,0,0,0,0,5730104,288047,4655,7328231,0,0,0,0,0,0,8862,1298,39,8236,0,0,0,0,0,0,25345.73,13631.0401725769,0,103903.531612396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148404.6,197.124666666667,1797.86086666667,235.2,5385.59373333333,875.7,165.825333333333,240.8,1058794.8,24.5933333333333,1107842.86666667,1752.35713333333,828.566666666667,828.473333333333,874.533333333333,1440.46,2019-09-08,93.9927134064747
"10","BA","AMA",2019-09-14,FALSE,3613,99.5251586741883,352259.569999997,0,0,352259.569999997,0,4.58095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18961.29,6054.46,478.54,24768.78,0,0,0,0,0,0,5175329,270903,4976,6807126,0,0,0,0,0,0,8256,1235,44,7897,0,0,0,0,0,0,29347.59,15145.8602924347,0,118161.991882324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148928.9,197.255333333333,1798.81963333333,235.2,5388.46676666667,875.7,165.939666666667,240.8,1058946.7,24.7566666666667,1108017.63333333,1753.40736666667,829.383333333333,829.126666666667,873.716666666667,1441.44,2019-09-15,97.4978051480754
"11","BA","AMA",2019-09-21,FALSE,3761,95.6542818336158,345244.829999996,0,0,345244.829999996,0,3.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20120.66,5758.42,529.91,19846.67,0,0,0,0,0,0,5037374,232549,4926,2682333,0,0,0,0,0,0,8120,1124,40,5057,0,0,0,0,0,0,33285.58,14481.5802135467,0,105399.171754837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149453.2,197.386,1799.7784,235.2,5391.3398,875.7,166.054,240.8,1059098.6,24.92,1108192.4,1754.4576,830.2,829.78,872.9,1442.42,2019-09-22,91.7960196756172
"12","BA","AMA",2019-09-28,FALSE,5434,97.9425353016676,488352.219999994,0,0,488352.219999994,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17318.49,6567.37,716.17,19075.75,22.0708,0,0,0,0,0,4187002,190044,105286,13802504,0,0,0,0,0,0,7434,1092,228,5820,0,0,0,0,0,0,44620.86,16729.3702545166,0,96641.831987381,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1149977.5,197.516666666667,1800.73716666667,235.2,5394.21283333333,875.7,166.168333333333,240.8,1059250.5,25.0833333333333,1108367.16666667,1755.50783333333,831.016666666667,830.433333333333,872.083333333333,1443.4,2019-09-29,89.8697497239591
"13","BA","AMA",2019-10-05,FALSE,3713,97.8328972935456,346988.519999997,0,0,346988.519999997,0,3.62857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11228.15,4875.5,581.1,17067.88,0,0,0,0,0,0,2374341,170947,124387,11333104,0,0,0,0,0,0,6594,1008,220,4557,0,0,0,0,0,0,24584.06,14959.2000045776,0,96229.1509151459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150388.71935484,197.665397849462,1801.33565913979,235.151612903226,5396.00652795699,875.748387096774,166.276698924731,240.751612903226,1059477.83548387,25.1966666666667,1108560.04623656,1756.11559892473,831.341397849462,830.789892473118,871.613440860215,1444.12838709677,2019-10-06,93.4523350390511
"14","BA","AMA",2019-10-12,FALSE,3693,106.669079971694,380957.210000001,0,0,380957.210000001,0,3.53333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15194.03,3688.85,613.15,14971.21,41.9761,0,0,0,0,0,3808047,201241,180604,1463023,0,0,0,0,0,0,7014,1004,288,3501,0,0,0,0,0,0,36134.26,18480.0797462463,0,92409.3493461609,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1150551.16129032,197.853870967742,1801.1415483871,234.996774193548,5395.42567741936,875.903225806452,166.371935483871,240.596774193548,1059871.12903226,25.2,1108792.77419355,1755.74993548387,830.583870967742,830.493548387097,871.906451612903,1444.30322580645,2019-10-13,103.156569184945
"15","BA","AMA",2019-10-19,FALSE,3478,103.306809127129,336360.839999999,0,0,336360.839999999,0,4.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18632.59,5413.23,263.74,20754.92,0,0,0,0,0,0,5056255,272199,47661,2020713,0,0,0,0,0,0,7408,1387,116,5039,0,0,0,0,0,0,29237.36,14857.3797225952,0,88968.5989952087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150706.06451613,198.043548387097,1800.92341935484,234.838709677419,5394.77287096774,876.061290322581,166.466774193548,240.438709677419,1060269.4516129,25.2,1109026.70967742,1755.35477419355,829.793548387097,830.177419354839,872.222580645161,1444.46129032258,2019-10-20,96.7109948246115
"16","BA","AMA",2019-10-26,FALSE,4243,108.656788870703,447125.169999995,0,0,447125.169999995,0,4.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19315.85,7698.48,157.64,23592.23,0,0,0,0,0,0,5225352,363500,7374,2520856,0,0,0,0,0,0,7617,1885,68,5752,0,0,0,0,0,0,50007.79,18849.9298019409,0,118184.238397598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150860.96774194,198.233225806452,1800.70529032258,234.68064516129,5394.12006451613,876.21935483871,166.561612903226,240.28064516129,1060667.77419355,25.2,1109260.64516129,1754.95961290323,829.003225806452,829.861290322581,872.538709677419,1444.61935483871,2019-10-27,105.379488569407
"17","BA","AMA",2019-11-02,FALSE,6172,123.696885620084,806565.699999988,0,0,806565.699999988,0,3.47333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19050.78,7976.26,237.89,33483.85,1543.5325,0,0,0,0,0,5110598,352439,8854,3445726,0,0,0,0,0,0,6712,1797,99,8345,0,0,0,0,0,0,93126.11,33097.2995166779,0,276791.97546196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1151026.28709677,198.413290322581,1800.47711612903,234.532258064516,5393.43712580645,876.347741935484,166.65364516129,240.132258064516,1061061.70967742,25.2,1109507.05806452,1754.56944516129,828.271290322581,829.604516129032,872.865483870968,1444.72774193548,2019-11-03,130.681416072584
"18","BA","AMA",2019-11-09,FALSE,3888,110.433099434652,406011.509999997,0,0,406011.509999997,0,4.53571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20157.69,10151.22,154.76,20831.35,0,0,0,0,0,0,4982098,257875,5690,2646221,0,0,0,0,0,0,6180,1369,56,5228,0,0,0,0,0,0,50653.44,16495.6997509003,0,110392.217918396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151316.6,198.478,1800.1284,234.5,5392.3926,876.12,166.712,240.1,1061403,25.2,1109903.2,1754.2392,828.24,830.06,873.32,1444.24,2019-11-10,104.426828703703
"19","BA","AMA",2019-11-16,FALSE,4188,140.950916393928,545380.549999993,413,0,545380.549999993,0,4.1047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21065.65,8866.8,200.37,23493.43,0,0,0,0,0,0,4885610,219119,55226,2819565,0,0,0,0,0,0,5679,1291,124,5510,0,0,0,0,0,0,87806.02,24377.529964447,0,120834.379258156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151641.63333333,198.510666666667,1799.7462,234.5,5391.24763333333,875.793333333333,166.761,240.1,1061729.66666667,25.2,1110340.93333333,1753.9256,828.403333333333,830.713333333333,873.81,1443.58666666667,2019-11-17,130.224582139444
"20","BA","AMA",2019-11-23,FALSE,3718,117.905193220339,404023.089999997,0,0,404023.089999997,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20160.67,2963.53,242.96,22489.27,0,0,0,0,0,0,4628889,101193,27154,2916758,0,0,0,0,0,0,5419,592,100,5877,0,0,0,0,0,0,56968.27,17691.3100357056,0,125211.940800667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151966.66666667,198.543333333333,1799.364,234.5,5390.10266666667,875.466666666667,166.81,240.1,1062056.33333333,25.2,1110778.66666667,1753.612,828.566666666667,831.366666666667,874.3,1442.93333333333,2019-11-24,108.666780527164
"21","BA","AMA",2019-11-30,FALSE,4840,138.329593409509,610362.949999987,0,0,610362.949999987,0,4.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17066.65,5771.27,229.36,32055.72,0,0,0,0,0,0,3745580,221322,6849,4725652,0,0,0,0,0,0,4939,964,71,8303,0,0,0,0,0,0,77724.19,23788.5894985199,0,229501.005987167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152291.7,198.576,1798.9818,234.5,5388.9577,875.14,166.859,240.1,1062383,25.2,1111216.4,1753.2984,828.73,832.02,874.79,1442.28,2019-12-01,126.108047520658
"22","BA","AMA",2019-12-07,FALSE,7776,134.644096447567,953829.029999969,3164,1580,952249.029999969,0,2.9212962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25926.21,21203.96,1017.97,33090.52,0,0,0,0,0,0,6028807,306697,127845,4725593,0,0,0,0,0,0,7990,2269,251,8209,0,0,0,0,0,0,155567.48,57520.9291009903,0,250072.036382675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152291.90322581,198.644193548387,1799.71851612903,234.590322580645,5391.16493548387,875.722580645161,166.943225806452,240.1,1062829.19354839,25.1096774193548,1111296.51612903,1753.98503225807,829.341935483871,832.661290322581,875.18064516129,1442.72258064516,2019-12-08,122.460009002054
"23","BA","AMA",2019-12-14,FALSE,4197,116.524508982035,446591.869999992,0,0,446591.869999992,0,3.87414965986395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20063.78,4119.56,2.93,20588.03,0,0,0,0,0,0,4539068,190959,63,2484561,0,0,0,0,0,0,7336,821,2,5193,0,0,0,0,0,0,55755.73,19097.5601425171,0,129272.160187721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152048.48387097,198.739032258064,1801.29441935484,234.748387096774,5395.88632258065,876.987096774194,167.053870967742,240.1,1063365.03225806,24.9516129032258,1111108.41935484,1755.42183870968,830.290322580645,833.293548387097,875.496774193548,1443.98709677419,2019-12-15,106.407402906836
"24","BA","AMA",2019-12-21,FALSE,4690,122.533430122115,530941.99999999,0,0,530941.99999999,0,3.96938775510204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15308.41,8274.07,1594.13,29120.91,827.1054,0,12329.2884,0,0,0,3413725,353836,410936,3001845,0,0,0,0,0,0,5700,1289,1170,7209,0,0,0,0,0,0,74075.53,19978.0001144409,591.969993591309,167361.391252518,0,0,0,0,0,0,0,0,0,0,29,12,13,0,0,0,1151805.06451613,198.833870967742,1802.87032258065,234.906451612903,5400.60770967742,878.251612903226,167.164516129032,240.1,1063900.87096774,24.7935483870968,1110920.32258065,1756.85864516129,831.238709677419,833.925806451613,875.812903225807,1445.25161290323,2019-12-22,113.207249466949
"25","BA","AMA",2019-12-28,FALSE,4406,111.018671432826,437527.859999993,0,0,437527.859999993,0,4.10714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14082.8,4984.86,1132.39,24870.25,211.7171,0,7.2643,0,0,0,3173958,353917,339768,3032204,0,0,0,0,0,0,6712,1088,961,6546,0,0,0,0,0,0,56534.74,15854.4698343277,197.979995727539,117556.08904171,0,0,0,0,0,0,0,0,0,0,14,4,1,0,0,0,1151561.64516129,198.928709677419,1804.44622580645,235.064516129032,5405.32909677419,879.516129032258,167.275161290323,240.1,1064436.70967742,24.6354838709677,1110732.22580645,1758.2954516129,832.187096774194,834.558064516129,876.129032258065,1446.51612903226,2019-12-29,99.3027371765758
"26","BA","AMA",2020-01-04,FALSE,5481,104.33826260609,504982.109999994,0,0,504982.109999994,0,4.31836734693878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9192.97,4160.03,720.57,16120.89,8.1432,0,0,0,0,0,2106449,222531,272488,2399388,0,0,0,0,0,0,4839,956,857,4968,0,0,0,0,0,0,51977.15,22799.409822464,890.909980773926,124869.448205948,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1151401.4516129,199.046129032258,1805.92858064516,235.222580645161,5409.77016129032,880.038709677419,167.401935483871,240.132258064516,1064984.48387097,24.5096774193548,1110651.22580645,1759.62419354839,832.748387096774,834.835483870968,876.090322580645,1446.94193548387,2020-01-05,92.1332074438959
"27","BA","AMA",2020-01-11,FALSE,4850,111.027096514744,486494.799999994,0,0,486494.799999994,0,4.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11647.82,5577.28,585.37,17769.66,0,0,0,0,0,0,3567647,346498,265581,2649626,0,0,0,0,0,0,8514,1216,653,5578,0,0,0,0,0,0,40556.75,23842.2598667145,896.949974060059,127478.977882385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151540.87096774,199.244838709678,1807.07416129032,235.38064516129,5413.20206451613,877.890322580645,167.586774193548,240.28064516129,1065575.22580645,24.5,1110955.77419355,1760.56390322581,831.916129032258,833.835483870968,874.774193548387,1444.34838709677,2020-01-12,100.308206185566
"28","BA","AMA",2020-01-18,FALSE,4528,111.704345084551,465511.139999994,0,0,465511.139999994,0,4.3171768707483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10303.36,5673.93,655.47,17026.82,0,0,0,0,0,0,2983970,300254,264803,2221609,0,0,0,0,0,0,8692,1171,851,5239,0,0,0,0,0,0,42808.29,23655.869632721,699.96997833252,123056.717508316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151705.25806452,199.450322580645,1808.19167741936,235.538709677419,5416.54987096774,875.51935483871,167.776451612903,240.438709677419,1066169.5483871,24.5,1111292.4516129,1761.47119354839,830.967741935484,832.729032258065,873.351612903226,1441.50322580645,2020-01-19,102.80723056537
"29","BA","AMA",2020-01-25,FALSE,4395,110.775433409873,451388.139999996,0,0,451388.139999996,0,4.25816326530612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7108.08,6848.43,1352.08,21287.51,0,0,0,0,0,0,1997368,259817,2798103,2510389,0,0,0,0,0,0,5426,1228,1226,5931,0,0,0,0,0,0,40038.82,17975.7197589874,498.959991455078,134809.327302933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151869.64516129,199.655806451613,1809.30919354839,235.696774193548,5419.89767741935,873.148387096774,167.966129032258,240.596774193548,1066763.87096774,24.5,1111629.12903226,1762.37848387097,830.01935483871,831.622580645161,871.929032258064,1438.65806451613,2020-01-26,102.704923777018
"30","BA","AMA",2020-02-01,FALSE,4256,125.151744744744,487581.539999995,0,0,487581.539999995,0,3.26190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8978.96,6857.83,956.83,23396.34,0,0,0,0,0,0,2258980,357326,1371790,2908817,0,0,0,0,0,0,6931,1362,862,6620,0,0,0,0,0,0,34056.7,22809.1197252274,667.949983596802,148089.94732666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151967.95328142,199.865027808676,1810.3844894327,235.84126807564,5423.11898887653,870.763737486096,168.15745272525,240.74126807564,1067294.40934372,24.5310344827586,1111846.28031146,1763.24794771969,829.079977753059,830.521468298109,870.432035595106,1435.76062291435,2020-02-02,114.563331766916
"31","BA","AMA",2020-02-08,FALSE,4275,129.155070747904,511718.989999991,0,0,511718.989999991,0,3.49166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7132.97,7689.75,686.56,25539.82,0,0,0,0,0,0,1764889,334735,253170,2937416,0,0,0,0,0,0,2453,1420,580,7142,0,0,0,0,0,0,28136.49,23832.6795854568,199.979995727539,168771.466720581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149885.65517241,200.197586206896,1810.06651724138,235.537931034483,5422.16596551724,867.927586206897,168.403103448276,240.437931034483,1065720.06896552,25.5862068965517,1108119.06896552,1762.86913793103,828.437931034483,829.596551724138,866.479310344828,1431.13793103448,2020-02-09,119.70034853801
"32","BA","AMA",2020-02-15,FALSE,4309,121.081369943902,474602.929999992,0,0,474602.929999992,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13227.93,8747.37,653.46,25102.88,0,0,0,0,0,0,3667277,310371,219604,3034178,0,0,0,0,0,0,5892,1288,599,6936,0,0,0,0,0,0,36694.11,15038.9697704315,899.929977416992,164622.427874565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146812.17241379,200.586206896552,1809.11524137931,235.031034482759,5419.31551724138,864.886206896552,168.673448275862,239.931034482759,1063188.96551724,27.1068965517241,1102598.96551724,1761.92293103448,827.931034482759,828.751724137931,861.410344827586,1425.73103448276,2020-02-16,110.14224414017
